driver,kart,tires,glider,weight,acceleration,on road traction,off road traction,mini-turbo,ground speed,water speed,anti-gravity speed,air speed,ground handling,water handling,anti-gravity handling,air handling,speed+MT,Pareto Optimal?
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Standard/Blue Standard/GLA Tires,Super Glider/Waddle Wing/Hylian Kite,11,11,10,11,13,13,14,12,15,11,9,11,11,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Standard/Blue Standard/GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,10,12,10,11,14,12,14,13,14,11,9,11,12,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Standard/Blue Standard/GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,12,11,11,10,13,13,13,13,15,11,10,10,11,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Standard/Blue Standard/GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,11,12,11,10,14,12,13,13,14,11,10,10,12,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Monster/Hot Monster/Ancient Tires,Super Glider/Waddle Wing/Hylian Kite,13,9,11,13,12,13,13,12,13,8,7,8,9,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Monster/Hot Monster/Ancient Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,12,10,11,13,13,12,13,13,12,8,7,8,10,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Monster/Hot Monster/Ancient Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,14,9,12,12,12,13,12,13,13,8,8,7,9,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Monster/Hot Monster/Ancient Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,13,10,12,12,13,12,12,13,12,8,8,7,10,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,9,13,8,10,15,11,14,10,15,12,10,12,12,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,8,14,8,10,16,10,14,11,14,12,10,12,13,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,10,13,9,9,15,11,13,11,15,12,11,11,12,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,9,14,9,9,16,10,13,11,14,12,11,11,13,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Slim/Wood/Crimson Slim,Super Glider/Waddle Wing/Hylian Kite,11,9,12,7,12,14,13,14,14,12,10,11,12,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Slim/Wood/Crimson Slim,Cloud Glider/Parachute/Flower Glider/Paper Glider,10,10,12,7,13,13,13,15,13,12,10,11,13,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Slim/Wood/Crimson Slim,Wario Wing/Plane Glider/Gold Glider/Paraglider,12,9,13,6,12,14,12,15,14,12,11,10,12,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Slim/Wood/Crimson Slim,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,11,10,13,6,13,13,12,15,13,12,11,10,13,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,12,8,12,6,10,15,11,14,12,10,6,10,9,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,11,9,12,6,11,14,11,15,11,10,6,10,10,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Slick/Cyber Slick,Wario Wing/Plane Glider/Gold Glider/Paraglider,13,8,13,5,10,15,10,15,12,10,7,9,9,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Slick/Cyber Slick,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,12,9,13,5,11,14,10,15,11,10,7,9,10,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Metal/Gold Tires,Super Glider/Waddle Wing/Hylian Kite,13,7,9,8,10,15,14,11,14,10,8,9,8,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Metal/Gold Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,12,8,9,8,11,14,14,12,13,10,8,9,9,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Metal/Gold Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,14,7,10,7,10,15,13,12,14,10,9,8,8,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Metal/Gold Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,13,8,10,7,11,14,13,12,13,10,9,8,9,25,false
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Button/Leaf Tires,Super Glider/Waddle Wing/Hylian Kite,9,12,9,9,14,12,13,12,14,11,9,12,10,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Button/Leaf Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,8,13,9,9,15,11,13,13,13,11,9,12,11,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Button/Leaf Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,10,12,10,8,14,12,12,13,14,11,10,11,10,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Button/Leaf Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,9,13,10,8,15,11,12,13,13,11,10,11,11,26,true
Mario/Ludwig/Mii (medium),Standard Kart/The Duke/300 SL Roadster,Off-Road/Retro Off-Road/Triforce Tires,Super Glider/Waddle Wing/Hylian Kite,12,10,11,12,11,14,15,12,13,9,7,10,10,25,false
